id;nhogar;zona;v2_3;v4;h2_2;hacinam_3;tipoho_2;fexp
491;1;2;3;1;2;2;1;291
492;1;1;2;2;2;1;1;305
493;1;3;1;2;3;2;1;273
494;1;1;2;2;2;1;2;670
495;1;3;2;3;3;2;1;855
496;1;2;1;2;3;1;1;239
497;1;3;2;2;2;2;1;329
498;1;3;1;3;1;1;1;75
499;1;2;2;2;1;1;1;1872
500;1;3;2;1;2;2;1;698
501;1;1;2;1;2;2;1;595
502;1;2;2;2;2;2;1;1058
503;1;3;2;3;1;1;1;629
504;1;1;2;3;2;1;1;339
505;1;3;2;4;2;1;1;634
506;1;1;2;1;1;1;2;871
507;1;2;1;6;1;1;1;1300
508;1;1;2;2;2;1;1;522
509;1;2;2;3;2;1;1;2262
510;1;3;2;3;1;1;1;750
511;1;2;2;2;3;1;2;2141
512;1;2;2;2;2;1;2;608
513;1;1;2;3;2;1;1;416
514;1;1;2;4;1;1;1;873
515;1;1;2;1;2;1;2;1548
516;1;1;2;4;3;1;1;373
517;1;2;2;2;1;2;1;230
518;1;2;3;1;2;2;1;600
519;1;2;3;1;2;2;1;145
520;1;2;3;2;2;2;1;298
521;1;3;1;2;3;2;1;532
522;1;3;1;2;1;1;1;127
523;1;3;3;1;2;1;2;329
524;1;2;2;1;2;1;2;486
525;1;2;1;1;2;2;1;333
526;1;1;3;1;2;2;1;207
527;1;3;1;4;1;1;3;134
528;1;2;2;1;3;1;2;1378
529;1;2;2;2;2;1;1;2001
530;1;1;2;6;2;1;1;61
531;1;1;2;2;2;1;2;532
532;1;2;2;2;1;1;2;1424
533;1;1;2;4;2;1;1;1125
534;1;2;1;3;2;1;1;1703
535;1;1;2;4;1;1;1;195
536;1;2;2;3;3;1;1;1359
537;1;1;2;3;2;1;1;1013
538;1;2;2;4;2;1;1;464
539;1;2;2;3;1;1;1;382
540;1;1;2;3;1;1;1;560
541;1;2;2;2;2;1;2;1135
542;1;1;2;1;2;1;2;751
543;1;2;2;3;1;1;1;665
544;1;2;1;2;3;2;1;216
545;1;2;1;2;3;1;1;241
546;1;3;1;3;1;1;1;620
547;1;1;2;2;2;1;1;495
548;1;3;1;3;3;1;1;319
549;1;2;3;1;2;1;2;526
550;1;3;1;3;3;2;1;279
551;1;2;3;1;2;2;1;252
552;1;2;2;2;2;2;1;210
553;1;2;3;1;2;2;1;183
554;1;3;2;3;2;1;1;384
555;1;2;3;1;2;2;1;145
556;1;3;2;3;1;1;1;1390
557;1;2;2;3;1;1;1;2163
558;1;3;1;3;3;1;1;291
559;1;1;2;4;1;1;1;389
560;1;3;1;3;3;1;1;237
561;1;1;3;1;3;2;1;167
562;1;1;3;1;2;1;2;258
563;1;2;3;1;2;2;1;385
564;1;2;2;3;2;1;3;178
565;1;3;2;3;2;1;1;73
566;1;1;2;2;1;1;1;731
567;1;3;1;4;2;2;1;872
568;1;3;2;2;2;1;2;153
569;1;2;2;1;1;1;2;1189
570;1;2;2;2;2;1;2;397
571;1;2;2;2;2;1;2;834
572;1;1;2;2;2;1;2;651
573;1;2;2;3;2;1;1;431
574;1;2;2;3;2;1;2;216
575;1;2;1;3;1;1;1;1367
576;1;1;2;2;1;1;1;478
577;1;2;2;2;1;1;1;1188
578;1;2;2;3;1;1;1;1153
579;1;3;1;2;3;2;1;522
580;1;2;2;3;1;1;1;786
581;1;3;1;8;1;1;1;267
582;1;2;2;3;3;1;1;973
583;1;1;2;2;2;1;1;850
584;1;1;2;2;2;1;2;157
585;1;1;2;4;2;1;1;783
586;1;2;2;2;2;1;2;347
587;1;1;2;7;1;1;1;470
588;1;2;1;4;3;1;1;1081
589;1;2;1;2;3;2;1;230
590;1;2;1;3;2;1;1;1526
591;1;2;3;1;2;2;1;276
592;1;2;3;1;2;2;1;216
593;1;3;2;2;2;2;1;90
594;1;2;1;3;3;1;1;1946
595;1;3;2;3;1;1;1;532
596;1;2;2;2;2;2;1;302
597;1;2;2;1;2;1;2;149
598;1;3;2;4;3;2;1;1682
599;1;2;2;3;1;1;1;1648
600;1;3;2;3;1;1;2;465
601;1;3;2;3;1;1;3;61
602;1;1;2;3;3;1;1;559
603;1;3;2;3;2;1;1;71
604;1;2;2;3;2;1;1;2027
605;1;3;1;4;1;1;1;878
606;1;2;2;4;1;1;1;2741
607;1;3;1;4;3;1;1;702
608;1;1;2;4;2;1;1;955
609;1;1;2;4;2;1;1;714
610;1;1;2;2;2;1;2;724
611;1;1;2;3;2;1;1;700
612;1;1;2;4;1;1;1;363
613;1;2;3;1;2;1;2;241
614;1;2;1;4;1;1;1;469
615;1;2;2;4;2;1;1;1194
616;1;1;2;4;2;1;1;307
617;1;3;2;4;1;1;1;572
618;1;3;1;4;1;1;1;191
619;1;3;1;4;3;1;1;352
620;1;2;1;3;3;2;1;270
621;1;3;1;2;3;2;1;255
622;1;2;1;3;3;1;1;331
623;1;3;1;3;3;2;1;490
624;1;3;2;2;2;1;2;772
625;1;3;3;2;2;2;1;371
626;1;2;3;3;2;1;1;166
627;1;1;2;1;2;1;2;670
628;1;3;1;5;1;1;1;843
629;1;2;2;3;1;1;1;306
630;1;2;2;2;2;2;1;286
631;1;2;1;1;1;1;2;162
